"","AD3","WT3","AD4","WT4","AD6","WT6","AD9","WT9","AD11","WT11","mo3_log2fc","mo3_P","mo3_Q","mo4_log2fc","mo4_P","mo4_Q","mo6_log2fc","mo6_P","mo6_Q","mo9_log2fc","mo9_P","mo9_Q","mo11_log2fc","mo11_P","mo11_Q","disease","age","interaction","diseaseQ","ageQ","interactionQ"
"Q9WUR2",-0.15712393871796,-0.109543260304761,-0.237627988060471,0.093320759922022,-0.0753262314196326,0.123417322569858,0.080875773744659,-0.172370452178186,0.051641234235411,0.210521531589646,-0.0475806784131995,0.796389869984826,0.961048523214036,-0.330948747982493,0.16573854128036,0.969579718056114,-0.198743553989491,0.397605174100877,0.938628676592254,0.253246225922845,0.0673078749358409,0.645281630502265,-0.158880297354235,0.311691347138362,0.736502561203146,0.13424596182159,0.0167935129082898,0.541703519343923,0.419919492307365,0.0535558402690611,0.0535558402690611
"Q9WUR9",-0.0185756184030729,-0.150196184213047,-0.134732181934964,0.0245643323805227,0.106780355097263,0.0224417780798462,-0.0263811416907401,-0.192009433435877,0.062250333240968,-0.021779261947718,0.131620565809974,0.0990386885199408,0.755843439120122,-0.159296514315487,0.249359765807335,0.969579718056114,0.0843385770174169,0.0803248167966615,0.877511206643159,0.165628291745137,0.238644311865161,0.800003058271908,0.0840295951886861,0.428249537201273,0.811889747610746,0.293503373270526,0.398061764751227,0.624989597709459,0.612475477408634,0.555738164094089,0.555738164094089
"Q9WUT3",-0.395179133187363,-0.0796853473004302,-0.206632688556535,-0.492874120096041,0.0698006431399453,-0.418725600959146,-0.0868945694581496,-0.158833101937875,-0.249674583860062,0.00657444053782948,-0.315493785886932,0.153976980242218,0.780167565474123,0.286241431539507,0.0784740375084473,0.969579718056114,0.488526244099092,0.0282392615841082,0.78368957857174,0.0719385324797258,0.77924706150362,0.968832371147177,-0.256249024397892,0.131468103686435,0.576011446686462,0.879200916921786,0.0743503262602391,0.578137121547091,0.950991770470393,0.165868202198584,0.165868202198584
"Q9WUU7",0.0663001393831236,0.246015178556946,0.13264232789571,0.0785828989207846,0.00554080017148651,0.235741347378801,0.296613522967533,-0.160117717949594,-0.0176241785333991,0.0809772318541225,-0.179715039173822,0.0772430849635079,0.755843439120122,0.0540594289749254,0.608063321235565,0.987361816544365,-0.230200547207315,0.0326065610560325,0.862994244207111,0.456731240917127,0.154877120039247,0.738879298673239,-0.0986014103875216,0.449422324026775,0.818722317775109,0.862230721873343,0.552476363158691,0.231211821460435,0.945817953694088,0.68804583355823,0.68804583355823
"Q9WV18",-0.0598816251153372,0.0297997934044724,0.218026244954374,-0.395648330845327,0.19676996480916,-0.218557963002631,0.0413082326403093,-0.0762548096483413,-0.20343048890504,-0.211641967120353,-0.0896814185198096,0.664778194292444,0.926529869421439,0.613674575799701,0.176535195845205,0.969579718056114,0.41532792781179,0.0803786301706855,0.877511206643159,0.117563042288651,0.516105062814281,0.91106235402256,0.00821147821531365,0.957504817358415,0.991842409662663,0.0340401479738415,0.350212437877357,0.62732182141866,0.216689017606435,0.506610450800036,0.506610450800036
"Q9WV32",0.112786827338374,0.263363725612094,0.227342051721278,0.0460486310902651,0.156313439966943,0.00668808858156003,0.233724454164751,-0.00857139574907661,0.144963744097229,-0.082489346925361,-0.15057689827372,0.389450706033497,0.853362022207759,0.181293420631013,0.526667103680227,0.976966538247203,0.149625351385383,0.468531042258217,0.941017695231671,0.242295849913827,0.129836520539841,0.714377720648475,0.22745309102259,0.582020534164938,0.87503751488794,0.180102809023791,0.429252372140306,0.294186815077876,0.482039871210735,0.585605596971051,0.585605596971051
"Q9WV34",0.0832616899947069,0.13749342876813,0.119472047602959,0.0973995185396437,-0.0265361061904459,-0.0543148559753415,-0.0650868876644159,0.00340429195933954,-0.130489003721666,-0.0400278237721276,-0.0542317387734227,0.37242534364453,0.847258308490402,0.0220725290633155,0.607926381232009,0.987361816544365,0.0277787497848956,0.737952284935062,0.97317428203238,-0.0684911796237555,0.179487257170418,0.753399435914424,-0.0904611799495384,0.331513368880509,0.752006847785177,0.41573665019973,1.95446605217574e-05,0.30555430995766,0.703556178023955,0.000274718381071316,0.000274718381071316
"Q9WV54",-0.257468982821731,-0.2218655532025,-0.252860822403235,-0.263929469279434,0.173168792363922,-0.0690435359638967,-0.0141124105875215,-0.247330312011508,0.480886418453306,-0.235987757064601,-0.0356034296192306,0.9101486639645,0.981980553915946,0.0110686468761992,0.962650189340483,0.997847168882565,0.242212328327819,0.363769429255116,0.92967497348476,0.233217901423986,0.583472511915287,0.928558957939617,0.716874175517908,0.0329581742982048,0.387283291378004,0.107166260823976,0.12632889700024,0.0832546975736793,0.379838386416866,0.244473280891166,0.244473280891166
"Q9WV55",0.143458882135908,0.0519240475173574,0.0660157752582969,0.020128867474121,0.0920180798845678,0.025047421535357,-0.109408545314188,-0.037768548708192,-0.147258990743087,-0.251881468882134,0.0915348346185503,0.127270402508942,0.75800469561262,0.0458869077841759,0.689236058261558,0.98902346904353,0.0669706583492108,0.493844035432108,0.943908193908477,-0.0716399966059963,0.257424935405359,0.817018127586281,0.104622478139047,0.324929614564984,0.747911518701636,0.0582272530973075,1.79827352803037e-07,0.950614759419452,0.284285074156228,6.39694937743894e-06,6.39694937743894e-06
"Q9WV69",-0.127575458687226,-0.0329162838030975,-0.0292090937703144,-0.0726233579246346,-0.218329112728599,-0.0335101591225333,-0.0654324569007417,0.0889772797737195,-0.12956754744483,0.0375031214815974,-0.0946591748841282,0.307672824131487,0.82972002813681,0.0434142641543202,0.695816529276776,0.98902346904353,-0.184818953606066,0.298241504447076,0.921348648940292,-0.154409736674461,0.19313740247246,0.761561440674772,-0.167070668926427,0.16957287172881,0.624213214557699,0.0304950642894704,0.382126782347369,0.434345432677141,0.205992355006524,0.539221817282817,0.539221817282817
"Q9WV92",-0.0453586754389999,0.0731312598269955,0.0340824460610959,0.0208398108260038,-0.0454404738362215,0.0375260215671494,-0.0222466755124102,0.0556871217322996,-0.0601912918817846,0.11926663732426,-0.118489935265995,0.21145982583232,0.795308967051643,0.0132426352350921,0.726452979627186,0.98902346904353,-0.0829664954033709,0.0729161510242452,0.874588770506812,-0.0779337972447099,0.0921776418653618,0.683127107233259,-0.179457929206045,0.0103845280589714,0.29413831546,0.000215624626704384,0.541990342443672,0.141025470928329,0.0144239188546081,0.679528423576446,0.679528423576446
"Q9WV96",-0.219638538191217,-0.162614804377577,-0.120357341478954,-0.0556809513323065,0.0351692264398663,-0.17192935325188,0.272355105617225,0.0700572432395663,0.0968814473474669,-0.0362519266179592,-0.0570237338136409,0.779013086668181,0.958276707995156,-0.064676390146647,0.759694320547064,0.98902346904353,0.207098579691746,0.221899229736459,0.90059180277263,0.202297862377658,0.290162325440027,0.828158409516284,0.133133373965426,0.527559942600182,0.853378210477126,0.18360074666248,0.0114069311168996,0.16267773577406,0.485525706317094,0.0394653593814574,0.0394653593814574
"Q9WV98",0.05891400077127,-0.0881767157636822,0.0623758992740422,-0.0586047442149356,-0.0448932310444332,-0.0480975039102284,-0.0425727233513922,-0.0319727603746315,-0.0174748702268616,-0.0118998656449227,0.147090716534952,0.128952907937448,0.76222466579945,0.120980643488978,0.214690980641999,0.969579718056114,0.0032042728657952,0.965593921767304,0.997173059559309,-0.0105999629767608,0.834688299369307,0.976374048847883,-0.00557500458193886,0.932507641707151,0.983531644743957,0.152507503704994,0.694162340703155,0.0337746035889072,0.448642199548835,0.795623092903177,0.795623092903177
"Q9WVA2",-0.0705187335673692,0.0641606497102356,0.0448785892424087,0.00682257635141076,0.025421055324675,0.042409527847366,0.0193041215832213,0.0376417177276449,-0.059695734975494,-0.0394027024830798,-0.134679383277605,0.101364276743165,0.755843439120122,0.038056012890998,0.529318491397234,0.976966538247203,-0.016988472522691,0.872693281591887,0.988147758303017,-0.0183375961444236,0.880274592044076,0.98835035587597,-0.0202930324924142,0.823951027374723,0.961625732179661,0.598917363974707,0.431321645059634,0.421559915796367,0.812767018105112,0.586639415056777,0.586639415056777
"Q9WVA3",0.153587907485209,0.112282145004133,0.0906490043678751,-0.0161867193861481,0.0544051403615394,0.263054726832998,0.0143216284046516,0.0468402387357066,-0.226190865916497,-0.0650471209479635,0.0413057624810768,0.615750691462721,0.916665985614167,0.106835723754023,0.576559685094168,0.98283350001652,-0.208649586471459,0.132336277747501,0.898433433596034,-0.032518610331055,0.764855547786714,0.967694975046788,-0.161143744968533,0.540235108699981,0.857676806669255,0.670267288623827,0.0215158602022412,0.513915564458574,0.846501010192813,0.0644652074819063,0.0644652074819063
